Month,Unit Qty,Country,vfd,cif,Imports Qty
201901,"NMB","Austria","2,511,892","2,574,059","42"
201901,"NMB","Belgium","1,886,314","1,963,103","53"
201901,"NMB","China","2,675,272","2,799,368","121"
201901,"NMB","Czechia","7,251,350","7,665,974","256"
201901,"NMB","Germany","16,902,288","17,320,488","308"
201901,"NMB","France","7,755,592","8,188,301","238"
201901,"NMB","United Kingdom","8,116,998","8,358,781","192"
201901,"NMB","Hungary","2,109,595","2,188,272","119"
201901,"NMB","India","74,627","77,164","4"
201901,"NMB","Italy","1,214,163","1,231,825","6"
201901,"NMB","Japan","55,090,051","57,068,626","2,120"
201901,"NMB","Korea, Republic of","17,649,866","18,411,672","775"
201901,"NMB","Mexico","55,420","57,471","2"
201901,"NMB","Netherlands","78,333","79,821","2"
201901,"NMB","Sweden","598,908","618,473","9"
201901,"NMB","Thailand","2,669,536","2,782,503","113"
201901,"NMB","United States of America","1,877,174","1,919,660","31"
201901,"NMB","South Africa","1,311,098","1,336,661","28"
201902,"NMB","Austria","2,159,767","2,215,597","37"
201902,"NMB","Belgium","1,449,187","1,526,607","36"
201902,"NMB","China","1,606,131","1,660,835","45"
201902,"NMB","Czechia","20,138,014","21,776,014","821"
201902,"NMB","Germany","16,137,390","16,569,264","296"
201902,"NMB","Spain","2,242,227","2,332,232","79"
201902,"NMB","France","38,538","39,547","1"
201902,"NMB","United Kingdom","9,792,097","10,137,937","309"
201902,"NMB","Hungary","923,880","958,902","52"
201902,"NMB","India","522,606","540,583","28"
201902,"NMB","Italy","3,971,739","4,053,634","35"
201902,"NMB","Japan","52,606,795","54,321,999","2,073"
201902,"NMB","Korea, Republic of","15,240,555","15,797,659","677"
201902,"NMB","Mexico","5,810,310","5,957,312","86"
201902,"NMB","Netherlands","336,469","342,746","8"
201902,"NMB","Sweden","130,486","134,788","2"
201902,"NMB","Thailand","11,437,550","11,681,579","449"
201902,"NMB","United States of America","3,028,519","3,074,383","39"
201902,"NMB","South Africa","1,063,669","1,085,139","27"
201903,"NMB","Austria","1,962,947","2,042,261","35"
201903,"NMB","Belgium","970,101","1,007,239","23"
201903,"NMB","China","1,284,336","1,340,864","46"
201903,"NMB","Czechia","7,949,851","8,704,921","332"
201903,"NMB","Germany","11,476,856","11,720,842","218"
201903,"NMB","Spain","1,494,096","1,549,133","57"
201903,"NMB","France","804,155","840,859","24"
201903,"NMB","United Kingdom","12,289,517","12,783,350","440"
201903,"NMB","Hungary","3,076,873","3,191,970","174"
